model,prompt,sentence_sha256,stance,topic,prompt_tokens,completion_tokens,sentence
gpt-5-mini,codebook,6d3498e1443f61038ac9850e6c7d96576be9f4e725e2c566c91904561bdaf5e7,neutral,guidance,,,"The meeting adjourned at 10:25 a.m. on March 19, 2025."
gpt-5-mini,codebook,6d45a1082998a9bedc281afb8319e473ea00e8f38d489f3c6b125a77f64d2a77,neutral,guidance,,,"Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Austan D. Goolsbee; Philip N. Jefferson; Adriana D. Kugler; and Christopher J. Waller."
gpt-5-mini,codebook,6d64f13dd7aaf8c161b7faf9238dd26446cefcbde1ff0dd4999ea6224cd6d306,neutral,financial_stability,,,"Banks in the July Senior Loan Officer Opinion Survey on Bank Lending Practices reported that, on net, underwriting standards were little changed in the second quarter across most loan categories, although the level of standards remained on the tighter end of their historical range."
gpt-5-mini,codebook,6d65b00b679f30b311f2e10c2d3c92afa3c8fa2743da30477e67a121eb6218b5,neutral,growth,,,"Together with a downward revision to the second quarter, this brings the level of GDP to about 1½ percent below its level in the last quarter of 2019, before the pandemic began."
gpt-5-mini,codebook,6d73e86e1065d8d17317c414fcdc3008797e04bbb1cdfd8fa27639a16adb824f,hawkish,guidance,,,"In global financial developments, many advanced-economy central banks raised policy rates over the period, and investors increasingly came to anticipate tighter monetary policy ahead in most advanced foreign economies."
gpt-5-mini,codebook,6d9bcc80a7dd7fb3d0e4ac8ddbb25593063cd480b5d0a1c251a4a8cee0ae3423,hawkish,inflation,,,The war and related events are creating additional upward pressure on inflation and are weighing on global economic activity.
gpt-5-mini,codebook,6d9ecc235f412969445058b053f1ed1fb5c57f89c645b497fe9198db18c64f8f,neutral,inflation,361,83,Inflation has remained close to the 2 per cent target in recent quarters.
gpt-5-mini,codebook,6dacd0f5941d9e16922eaedcd7714ae72f9398943c079b2325a8812e9648d472,neutral,growth,373,147,"In the United States, new government spending and previously-announced tax cuts are anticipated to boost growth in 2018 and 2019."
gpt-5-mini,codebook,6dd883cd4056fecf6ac9b116288dac90c14c024723d24c297d0f67cd7513a9b4,neutral,inflation,368,150,"Total CPI inflation remains near the bottom of the target range, reflecting year-over-year price declines for consumer energy products."
gpt-5-mini,codebook,6de06007be41ae280c0a5ae62880e651f3e4fb2df623e047cc242c55a6e2cf2c,dovish,inflation,358,85,"however, inflation for items other than food and energy remained soft."
gpt-5-mini,codebook,6df244e52ea1a2263cb7707bcebe418bfada3fe781b0c7bb09c073f2048afbda,neutral,growth,360,211,"In Canada, the pandemic has led to historic losses in output and jobs."
gpt-5-mini,codebook,6dfac39f8fab06b59f65334f55a19592eed51c8f823ddf2aa6067fe7c2c7ffc2,dovish,growth,374,212,The pandemic-driven contraction has prompted decisive policy action to support individuals and businesses and to lay the foundation for economic recovery once containment measures start to ease.
gpt-5-mini,codebook,6e08d18a98bedd65f13ab1315000b5f861e67e20815659323c691b2b131b79c2,neutral,growth,360,146,Activity in the first quarter appears to have been a little stronger than projected.
gpt-5-mini,codebook,6e1e69c95b30f5d51e3d99c60bee3d8fd60f9c0f276cff85c894cf259e8a29ce,neutral,growth,393,82,"Staff Review of the Economic Situation The information reviewed for the April 28-29 meeting indicated that real gross domestic product (GDP) only edged up in the first quarter, with growth likely held down, in part, by transitory factors."
gpt-5-mini,codebook,6e3262a3a67229b211cd656adfddcbf2638a35229ef29a25f0da515a48bc8240,neutral,guidance,,,Occasional adjustments to the deposit rate spread may be required in the course of normal operations.
gpt-5-mini,codebook,6e3bc053915b06c6ff5f15b63d088e9799fe29333c55b315d948482e7eac2f9a,neutral,guidance,355,147,"Implementation Note issued March 20, 2019"
gpt-5-mini,codebook,6e65c6e63d5933ff11bc1d62295f8248682a6b8ef46b24a51f6634866c886010,dovish,growth,361,212,Accommodative policy and financial conditions are continuing to provide support across most regions.
gpt-5-mini,codebook,6e73eee3dabdf8201e3a548bec31a5fed020693ec7218c41315ff5b433c7917d,dovish,guidance,386,149,"To support a stronger economic recovery and to help ensure that inflation, over time, is at the rate most consistent with its dual mandate, the Committee expects to maintain a highly accommodative stance for monetary policy."
gpt-5-mini,codebook,6e7c7cf233469de265428522c1db858569b44e20b8d6ab010c390d93fba4193e,hawkish,inflation,,,Strong global demand for goods combined with supply bottlenecks that hinder production and transportation are pushing up inflation in most regions.
gpt-5-mini,codebook,6e880590210185bf2a2032e93f700b3ea9cc211c0ced1150bffabc3499afbb1e,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is January 29, 2025."
gpt-5-mini,codebook,6eaf12558f7af6c7efdea37374a6325131557c21c46695a594727efe55ea8e54,neutral,inflation,357,211,M2 growth was rapid in October but slowed in November.
gpt-5-mini,codebook,6ebc40b3d903856043815aad101061ef15b5b561e02bf20e7503cd451af8052d,dovish,employment,,,Trade tensions are also disrupting recovery in the labour market.
gpt-5-mini,codebook,6ebeb1efa697ef6788af25650bcd1dabfcfd07464665f7ffde4804ae43233099,neutral,inflation,379,148,"Inflation has been evolving as expected and the Bank’s core measures are all tracking 2 per cent, consistent with an economy that has been operating close to its capacity."
gpt-5-mini,codebook,6ec88111ba4083e368b36609b5d0559175d2890695c4fda03981fc781fdfe297,neutral,employment,384,211,"December 13, 2017 Information received since the Federal Open Market Committee met in November indicates that the labor market has continued to strengthen and that economic activity has been rising at a solid rate."
gpt-5-mini,codebook,6ee118afbe089178a1fae9fc39f2295e10777f274e96ed1818b632967828aabe,dovish,growth,,,"In the euro area, growth has been supported by activity in service sectors and will get additional support from fiscal policy."
gpt-5-mini,codebook,6ef71b8574f2ca2d0bc0cb5e32de8bff605a72d465e4942a375fddf65d09d7dd,neutral,guidance,,,"The effective federal funds rate was unchanged, and average spreads in both secured and unsecured funding markets were generally stable."
gpt-5-mini,codebook,6eff0df6f1a4d9a981577a85fc2420fe4b2f515ca797d3278983535f96a13af2,dovish,guidance,,,"The Bank of Canada today reduced its target for the overnight rate to 4½%, with the Bank Rate at 4¾% and the deposit rate at 4½%."
gpt-5-mini,codebook,6f019e346a15911832a58d7c5702fbbad589e3ae7ccfbc352a0e0be5a5de8119,dovish,guidance,378,600,The Federal Reserve is prepared to use its full range of tools to support the flow of credit to households and businesses and thereby promote its maximum employment and price stability goals.
gpt-5-mini,codebook,6f02ae8a7a388166f076badcbea9ada1e2ecc01835acfbf764fddac203eec893,dovish,inflation,,,Participants pointed to the softening of price inflation for goods amid improving supply conditions and to declining housing services inflation.
gpt-5-mini,codebook,6f0f56d110f1666def67c9b1f6e253a880ec02f1d1cfaadc560b53aad74e12ed,dovish,inflation,356,405,"Inflation has risen, largely reflecting transitory factors."
gpt-5-mini,codebook,6f1d3bd681ae702c24e564a034b83a8252d92eaed5103d35f8c10ba44f0a989a,hawkish,guidance,,,"Yields on Treasury securities of intermediate maturities increased modestly, the market-implied path of the federal funds rate steepened, domestic equity prices were unchanged, and speculative-grade corporate bond spreads narrowed modestly."
gpt-5-mini,codebook,6f264a3794dc853542d88c875bfc1e577ed2d036274f3a4c69baf0970e5d7309,neutral,inflation,,,"All told, total PCE price inflation was expected to be 5.0 percent in 2022, while core inflation was expected to be 4.1 percent."
gpt-5-mini,codebook,6f29d911c9f8c8136ccf4e885d710dade2aff177f91220d72814b3f86a9d3505,hawkish,guidance,,,"In money markets, the 75 basis point increase in the target range at the July meeting passed through fully to overnight rates."
gpt-5-mini,codebook,6f2e8677aea893fdcb4f6297435de02e80d368bad655e8e67dfcbf66874ec920,neutral,financial_stability,,,"In particular, bond and leveraged loan spreads remained narrow, while equity prices continued to increase, supported by strong earnings expectations, still-low Treasury yields, and high risk appetite."
gpt-5-mini,codebook,6f6338caa4db08e2a9ed340fc226d0004a8125c0418c835d1940be3501ebc5a6,neutral,inflation,,,Core goods prices were about flat from March through June after having risen during the first three months of the year.
gpt-5-mini,codebook,6f65c7b9fe6602d2d3ac3cda76ae166b1edc35a8d12fe8071e890678e4f08cdf,hawkish,inflation,,,The Committee is strongly committed to returning inflation to its 2 percent objective.
gpt-5-mini,codebook,6f681470514f664dd89d128b5f358c769975fc79ecfeaedfb33ce66b262dd2f8,hawkish,guidance,391,84,"In light of the cumulative progress toward maximum employment and the improvement in the outlook for labor market conditions since the inception of the current asset purchase program, the Committee decided to make a further measured reduction in the pace of its asset purchases."
gpt-5-mini,codebook,6f7c342da50e518f6221172cd0d83575c1e3641274f507ad5e9fdc4de973a607,neutral,guidance,363,83,The next scheduled date for announcing the overnight rate target is 13 July 2016.
gpt-5-mini,codebook,6f820f985ebc7852f1e11f8af2c1d04e55d1cd02398263ccf079f2a5801f9af2,neutral,inflation,366,211,The Bank continues to expect inflation to track close to the 2 percent target over the next two years.
gpt-5-mini,codebook,6f860b5fab9762e6d400b9a6600f5a16bb24da87e7325a298863f6db1131eb9d,neutral,growth,,,The euro area is projected to gradually recover from current weak growth.
gpt-5-mini,codebook,6fccadb6cb8739ce2d3cd8faaa1f55a4bf08151b215100db3434253c28543724,hawkish,growth,,,"March 20, 2024 Recent indicators suggest that economic activity has been expanding at a solid pace."
gpt-5-mini,codebook,6fcfe7641b03c49bb94929e97bb0c108e7c1b2cf3a19b30b943c2dbfaacb5875,neutral,guidance,,,"It was agreed that the next meeting of the Committee would be held on TuesdayâWednesday, April 30âMay 1, 2024."
gpt-5-mini,codebook,6fdc5134336c31e5772335de9576d7fefc6b26361eaaae5ac8527de47cec84b3,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is December 11, 2024."
gpt-5-mini,codebook,6fe964732d80c34b42063527015674e358edfad85dc4644d4b81ae6906962585,hawkish,inflation,,,"In addition, some participants cited risks that progress toward the Committee's 2 percent inflation objective could be stalled by a larger-than-anticipated easing in financial conditions, stronger-than-expected consumption growth, or continued strong increases in housing services prices."
gpt-5-mini,codebook,6feff91078b63901a5eeb005dad3b98119ae9b13829517a1b0dac5c3260e6e9c,neutral,growth,,,"In the United States, economic activity has been strong, supported by the boom in AI investment."
gpt-5-mini,codebook,701b2adfa8c28e10e7030195082c9b1536e59ea499d4750af6e15579f015ce30,dovish,growth,378,148,"In contrast, a few noted that the actions taken by several foreign central banks in recent weeks to increase monetary accommodation likely had helped mitigate downside risks to the global outlook."
gpt-5-mini,codebook,7043dd17340dcdca657fbf128d65ed1d44ee2efe08d8e2927c3928b343a809ec,neutral,employment,,,"This is reducing unevenness in the labour market, although considerable slack remains and some groups – particularly low-wage workers – are still disproportionately affected."
gpt-5-mini,codebook,70591579707b8b7ecf1d1987dbc5e1e960766ab9cd6442a6dedd2106254db74a,neutral,financial_stability,,,The unprovoked invasion of Ukraine by Russia is a major new source of uncertainty.
gpt-5-mini,codebook,706309aa4501bc351a16d3610cc1228a5b64ed79ae8ec4785bc6a3dc247502d6,dovish,inflation,372,152,The Committee anticipates that inflation over the medium term will run at or below the rate that it judges most consistent with its dual mandate.
gpt-5-mini,codebook,7070fa5ea32efd20a5a0749d5b3900e3fd46d2160da3e3b2bc4f8935234ca74d,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is June 5, 2024."
gpt-5-mini,codebook,70809b46514c22d0875916464ae8296cab2bd6493e9d75f64bd78dba7fc0df44,dovish,guidance,,,A straight read of federal funds futures rates suggested that market participants were placing higher odds on significant policy easing in 2024 than they did just before the December FOMC meeting.
gpt-5-mini,codebook,7080b4efdadb1e020734fdc4ce7ef958b1d57bcd8084ace27b4f03d8e3768304,neutral,growth,361,82,Federal and provincial fiscal measures are still expected to support growth in 2017.
gpt-5-mini,codebook,7083ce2c3d4b73734b17618d10dc5e5a4873ea337f3c7e8a98189345d2b1e816,dovish,financial_stability,360,214,"While bond yields are slightly higher, financial conditions remain accommodative in Canada."
gpt-5-mini,codebook,7085192ff7e590310436870f4143fa679e30e047e6f3909eca917bb4896d8afa,neutral,financial_stability,,,Delinquency rates on small business loans in June and July ticked up and were moderately above pre-pandemic levels.
gpt-5-mini,codebook,70a213081eccfb6f55c1dca9ec1cb4c2b8e5ef519451bce8c09e144b917e06a5,neutral,inflation,,,"Real yields increased more than their nominal counterparts, while inflation compensation implied by Treasury Inflation-Protected Securities declined."
gpt-5-mini,codebook,70c1a45ec02ef750be7f3dd5025a241d5b0bd9726fa2eb554e7f1d36496827f0,neutral,guidance,,,"At the conclusion of the discussion, the Committee voted to direct the Federal Reserve Bank of New York, until instructed otherwise, to execute transactions in the System Open Market Account (SOMA) in accordance with the following domestic policy directive, for release at 2:00 p.m.: ""Effective June 18, 2026, the Federal Open Market Committee directs the Desk to: The vote also encompassed approval of the statement below for release at 2:00 p.m.: ""The Federal Open Market Committee approved the following statement for release by a 12 â 0 vote: The Committee decided to maintain the target range for the federal funds rate at 3-1/2 to 3-3/4 percent, in support of the Federal Reserve's dual mandate."
gpt-5-mini,codebook,70cdb4e60d2209783e3cefb35f36d3c58a3cce1904203bf7b5feadf4f0a05326,neutral,employment,,,"Job gains have been solid in recent months, and the unemployment rate has declined substantially."
gpt-5-mini,codebook,70d259a35721e0ec022009a626a62d781fbde5292d10bca435262382de191c44,neutral,inflation,370,84,"On a 12-month basis, both overall inflation and inflation for items other than food and energy remain near 2 percent."
gpt-5-mini,codebook,70d301d1587249a1ac505609c6422c34f43b7adf480e2f076f2d4a52e22e6ecc,dovish,guidance,384,405,The Committee will closely monitor incoming information on economic and financial developments and will provide additional accommodation as needed to promote a stronger economic recovery and sustained improvement in labor market conditions in a context of price stability.
gpt-5-mini,codebook,70d40aef273e05b0d5fa234acd39053804f4bc8bd53963c319e12db711b579b5,neutral,growth,371,146,Growth will likely be choppy as domestic demand is influenced by the evolution of the virus and its impact on consumer and business confidence.
gpt-5-mini,codebook,70d6b8455afed128250c8682bac0781ff5b46f3641305a4c8e48037309c30d28,neutral,guidance,,,They agreed that their discussion at this meeting would be helpful background for the Committee's future decisions regarding policy normalization.
gpt-5-mini,codebook,710aca7245c5cc3d4e6139efe1eda1f179762e0f978d4684d0261f28a529442c,neutral,guidance,,,"Implementation Note issued March 16, 2022"
gpt-5-mini,codebook,710c416eeee523272fa6e2ee83198766290bda4be43131d76e3af85fbcfe6dd6,neutral,inflation,,,"Total PCE price inflation was 5.7 percent over the 12 months ending in November, and core PCE price inflation, which excludes changes in consumer energy prices and many consumer food prices, was 4.7 percent over the same period."
gpt-5-mini,codebook,71239e0b49511fc72ce18d08582fe5933d11170b650fabdacade2fe2694d4382,hawkish,inflation,,,"Governing Council is prepared to increase the policy rate further if needed to return inflation to the 2% target, and remains resolute in its commitment to restoring price stability for Canadians."
gpt-5-mini,codebook,71367da9c1b3e448b6908306bfb842fdefff59ae8d35e6c873dfdee7c168484b,hawkish,growth,,,Tighter monetary policies aimed at controlling inflation are weighing on economic activity around the world.
gpt-5-mini,codebook,713f848bc104a00129a9aa560c67ccdf2fcd0a77c14661b07bf9915241b9196d,neutral,growth,361,82,"Business fixed investment edged down, while the recovery in the housing sector remained slow."
gpt-5-mini,codebook,715f1943a66fea48d47bfc85fd7f62dadb20a4c550d24de20e4cbd53b75bf9e3,neutral,inflation,362,211,"Rising demand is supporting higher oil prices, while non-energy commodity prices remain elevated."
gpt-5-mini,codebook,7171febfd6ad5da064ddccba36e545e254b3ac973cad13f89d25d2fc76cae3bf,neutral,guidance,,,"Implementation Note issued June 17, 2026"
gpt-5-mini,codebook,7185351ff9269176b2b93cd9ed7e4053e62139784d25b843df541d8745ab6551,dovish,inflation,,,"The staff's inflation projection was slightly lower than the one prepared for the June meeting, reflecting the downward revision to the assumed effects of tariffs on imported goods prices."
gpt-5-mini,codebook,71951a42e5571c96dad0428143a857ab2f1b7711ea9061dfd387f8ee638e5355,neutral,employment,,,The unemployment rate continues to fluctuate in the 6 ½%-7% range with the most recent reading at 6.6% in May.
gpt-5-mini,codebook,71a363ac34f4e70e8778b95f2b94e43bc9b0195fb6eb068afc09e74badadd73a,neutral,financial_stability,,,"Foreign asset prices were highly volatile over the intermeeting period in response to geopolitical developments, central bank communications, and rising inflation concerns."
gpt-5-mini,codebook,71a659cd16df4ef399095cc050daf79437a3c25770f589d51d807f3e72e3c6f6,neutral,growth,,,"Economies are emerging from the impact of the Omicron variant of COVID-19 more quickly than expected, although the virus continues to circulate and the possibility of new variants remains a concern."
gpt-5-mini,codebook,71a9f1920f6d1f74ff0e57e8831c5c40d096ff974dee7ac64a3815cc61b5e5d8,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is October 23, 2024."
gpt-5-mini,codebook,71ad5d5a057140e4dcd6858a96e4da550951dbf2cab90ac787243db0958c77a6,neutral,growth,,,Consumption growth has moderated from the first half of 2022 and housing market activity has declined substantially.
gpt-5-mini,codebook,71c88e80811ca3f3afe59431115918e037fc4a078a15d7c5bb20a0669463e7aa,neutral,growth,,,"In Canada, GDP growth in the second half of 2021 now looks to have been even stronger than expected."
gpt-5-mini,codebook,71d557022e45d93118ee12af22956005431d3c2233dbcb918fac31a2d0490644,dovish,inflation,,,"Tighter credit conditions for households and businesses are likely to weigh on economic activity, hiring, and inflation."
gpt-5-mini,codebook,71e6036f93b41b043c9dca118a4af8727891954733d55a54c5a453ce18fefbe5,hawkish,financial_stability,,,Banks reported tightening standards further in the April SLOOS for all loan categories of commercial real estate (CRE) loans.
gpt-5-mini,codebook,71f63db263f2593bcfbe9b4443dbe01329cd564c54b5ef5ebfa4ad703b547353,neutral,financial_stability,,,"Since the financial market turmoil in April, risk assets have largely recovered and volatility has diminished, although markets remain sensitive to US policy announcements."
gpt-5-mini,codebook,72050f7dad0af67e59fbf59a5f09f84ccef8edd4dc6003b81d564e5b7e8485e9,dovish,guidance,391,277,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run."
gpt-5-mini,codebook,72057073d3d0772055bb20346ca25b63527cca75c7ad12bebe1ac46efd34a1db,neutral,employment,393,149,"Committee Policy Action In their discussion of monetary policy for the period ahead, members judged that information received since the FOMC met in May indicated that the labor market had continued to strengthen and that economic activity had been rising at a solid rate."
gpt-5-mini,codebook,7209c55fe761a69a6877a81011c9bd46517efd1ec717035ded7bee035e14e347,neutral,guidance,,,"At its January decision, the Governing Council indicated that it expected to hold the policy interest rate at its current level, conditional on economic developments evolving broadly in line with the MPR outlook."
gpt-5-mini,codebook,720f71775e9711f02a1f2c42d7d3c0566be19f113f9a9537b88fdd0c6f247b03,neutral,guidance,,,"The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the Monetary Policy Report on April 13, 2022."
gpt-5-mini,codebook,72116ff42b5315b03237ba5926e3344d2d189f0e47d5bb3f59b0ea5233c65402,neutral,growth,363,146,"This impact appears to have peaked, although uncertainty about how the recovery will unfold remains high."
gpt-5-mini,codebook,7214413ccf7885071411ec6b8865b5978c9f885bc9ab5f5cea04beaff0c425b1,dovish,growth,381,212,The timing and pace of the recovery varies among regions and could be hampered by a resurgence of infections and the limited capacity of some countries to contain the virus or support their economies.
gpt-5-mini,codebook,721af10e98166f8799da3b12f28ccd2deea856d47a0d64d15962ec4164f673ab,dovish,growth,378,340,All the Bank’s actions are aimed at helping to bridge the current period of containment and create the conditions for a sustainable recovery and achievement of the inflation target over time.
gpt-5-mini,codebook,721c80062786340b0686ff2143d1a2d39a29cfc4ed38c89d6bf52c316f2bade4,neutral,growth,,,Uncertainty about the economic outlook remains elevated.
gpt-5-mini,codebook,7225d800c0c8243c222bc7d60147c0eb4ccfaf6f5f3f3e5aa06d30f66c212f9d,neutral,growth,,,"US GDP growth is expected to slow in the second half of this year, but remain stronger than forecast in January."
gpt-5-mini,codebook,722caed498c19c46729da662cfbde5dcb68fd19bc74f8271c3ef27f153bc10b5,neutral,financial_stability,,,"Meanwhile, interest rates on commercial and industrial (C&I) loans and small business loans continued to be elevated."
gpt-5-mini,codebook,72478080b7371b2e4289c60a17806820b2b7872d15a5a6d12965b1b02d27e8a4,hawkish,guidance,381,276,"Voting against the action was Jeffrey M. Lacker, who does not anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate through late 2014."
gpt-5-mini,codebook,725731aa7e41de970f717bbdf1e1b0a5ab2fcaca11c8cfd9bd1fcfdd99e54155,hawkish,inflation,,,"In recent months, there has been a lack of further progress toward the Committee's 2 percent inflation objective."
gpt-5-mini,codebook,72578ad6a90274fd72fabd2ad7b0a269c6a5a24ac6db85fff133a40bfe031fd9,dovish,growth,,,"As a result, GDP growth is expected to be weak in the second half of the year."
gpt-5-mini,codebook,7272a378a8f71c7ca5572567c4c689f7c12cf648405de460ce86d034fff2e934,neutral,financial_stability,373,277,"Meanwhile, financial vulnerabilities continue to edge higher, in part due to regional shifts in activity associated with the structural adjustment underway in Canada’s economy."
gpt-5-mini,codebook,7277fb6722e63d18e94c22e2638dc4d13957d7280f407bff92cc21af2ffb7d46,neutral,inflation,,,"Survey-based measures of short-run inflation expectations declined in recent weeks, while measures of longer-term inflation expectations remained roughly stable or moved lower."
gpt-5-mini,codebook,728fe49e3d8b8e4fcff9afd65d919b1d92ab1ff9f57cfa8c46fe83723b293142,hawkish,growth,376,148,"The output gap is now projected to close around the end of 2017, earlier than the Bank anticipated in its April Monetary Policy Report (MPR)."
gpt-5-mini,codebook,729652708a0c2e793f65af1a92c78a47cd7dc01f3f177a084b9a4c267de323b9,neutral,financial_stability,397,149,"House prices remained high but flattened out in the past year, and the likelihood of severe distress among mortgage borrowers appeared to be notably lower than following the previous period of elevated house prices, in part because of stronger underwriting standards and near historical highs for homeowners' equity."
gpt-5-mini,codebook,729b0ee464a610b644939d95640f3754bc50349a4ebf9e181d93650bc5fc963e,dovish,employment,,,"Job losses have largely been concentrated in trade-sensitive sectors, while employment growth in the rest of the economy has slowed, reflecting weak hiring intentions."
gpt-5-mini,codebook,72a1bc739ba6f36be562f631e16f0126e1707e67f2193ca363490ba26f5e2034,hawkish,financial_stability,371,278,"it was also pointed out that, where appropriate, supervisory measures should be applied to address excessive risk-taking and associated financial imbalances."
gpt-5-mini,codebook,72a68d50cc63e4909abd680a501b6036caa4cc25ec61271d9467e19c7237c18b,neutral,guidance,393,211,"In determining how long to maintain the current 0 to 1/4 percent target range for the federal funds rate, the Committee will assess progress--both realized and expected--toward its objectives of maximum employment and 2 percent inflation."
gpt-5-mini,codebook,72b121aaf5740c204857e8fa3995e4b9bda6207973b768b1f3525828b50236ac,hawkish,inflation,,,"Global inflation is higher, reflecting the impact of the Russian invasion of Ukraine, ongoing supply constraints, and strong demand."
gpt-5-mini,codebook,72b926474035109f0b5a4b85b192c74f7a2b840158b1654c7efdc79e08c20549,dovish,guidance,,,"With continued easing in broad inflationary pressures, Governing Council decided to reduce the policy interest rate by a further 25 basis points."
gpt-5-mini,codebook,72bc36512ecca2b362417b30bc9db4c2eef3ffd9ca382cacd4e3c062574cf958,dovish,inflation,374,213,"On a 12-month basis, overall inflation and the measure excluding food and energy prices have declined this year and are running below 2 percent."
gpt-5-mini,codebook,72cc27cbc91932287c8037b670bb22c024380181a027b3efc12d08030603d844,neutral,growth,,,"Because US trade policy remains unpredictable and uncertainty is still higher than normal, this projection is subject to a wider-than-usual range of risks."
gpt-5-mini,codebook,72e555e204f7be6e464f4951675a4c172c61c60580301985e32904e63f399cc5,neutral,guidance,,,"Regarding monetary policy expectations, the manager observed that market participants and respondents to the Open Market Desk Survey of Market Expectations (Desk survey) generally expected no change in the target range of the federal funds rate at the June FOMC meeting."
gpt-5-mini,codebook,72f4509e03c8cb7ab32ead21cfe8ddd3afec9ca0c7085a93631d942614c5cb18,neutral,guidance,,,"Effective January 30, the deposit rate will be set at a spread of 5bps below the Bank’s policy interest rate."
gpt-5-mini,codebook,72f821c7f3e92cbdffc42141ab03ecd4032bbdd5c7a9125388b5d47d9d5eb307,dovish,growth,379,277,"The ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term, and poses considerable risks to the economic outlook over the medium term."
gpt-5-mini,codebook,72fd52739f569ae1d9b834e4aeaa454acf8de16a751cb18dad90ec1aab2f4bd1,dovish,financial_stability,353,153,Global financial conditions have remained accommodative.
gpt-5-mini,codebook,72fd9a10934cdb0e43a262a84a55abc0d0b0fa45382bd59e31a91b82e9228c3a,neutral,inflation,370,211,"Meanwhile, progress in US-China trade talks and policy stimulus in China have improved market sentiment and contributed to firmer commodity prices."
gpt-5-mini,codebook,731121b19e8211359e7936d0a4f6316aef682175a2711fe834aa26862a391638,hawkish,inflation,367,404,"Inflation remains around the 2 percent target, with some recent upward pressure from higher food and automobile prices."
gpt-5-mini,codebook,73115ef4101da0cddbb6a41ab355f6372f3dbef41363e4e4bff267ce8f230175,dovish,guidance,,,"Beginning in June, the Committee will slow the pace of decline of its securities holdings by reducing the monthly redemption cap on Treasury securities from $60 billion to $25 billion."
gpt-5-mini,codebook,732515b9063cdacd0602c41225c688aef9974d3f4c3f97bf1f63718665c32f48,dovish,guidance,,,"Most participants assessed that some reduction in the target range for the federal funds rate this year would likely be appropriate, noting that upward pressure on inflation from tariffs may be temporary or modest, that medium- and longer-term inflation expectations had remained well anchored, or that some weakening of economic activity and labor market conditions could occur."
gpt-5-mini,codebook,73264f0ccede1cd1a393314950361358ad33e799c8d302f4b2860ec23df35bb0,neutral,guidance,,,"In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent."
gpt-5-mini,codebook,732b0a449509672be9fd71c1dadb2f1b6d631482794fda8c9df85d50f9ebbbcc,neutral,guidance,355,148,"Implementation Note issued May 1, 2019"
gpt-5-mini,codebook,733f4fcd891c9f895ae17a0665d2ffb47978d1a0674024eff1395a793518f054,neutral,guidance,386,147,"Asset purchases are not on a preset course, and the Committee's decisions about their pace will remain contingent on the Committee's economic outlook as well as its assessment of the likely efficacy and costs of such purchases."
gpt-5-mini,codebook,7356aa8e58c3ffccb51d8fbbcb6c7512ea8be97892dcbb880f6b10291f522752,neutral,inflation,359,84,Core measures of inflation have also risen but by less than the CPI.
gpt-5-mini,codebook,7359848bc5f6cc76bdde25ca247b6f39eaaadea20e5187716919f67fcdfbbc2f,dovish,guidance,403,149,"In light of these risks and in support of achieving its maximum employment and price stability goals, the Federal Open Market Committee decided today to lower the target range for the federal funds rate by 1/2 percentage point, to 1 to 1â1/4 percent."
gpt-5-mini,codebook,736fa23857a711af3184ab87c89b0bd3c3ee3fd2725d6c05e8f1cb609074381b,neutral,growth,,,"Real GDP contracted at a rate of 1.1% in the third quarter, following growth of 1.4% in the second quarter."
gpt-5-mini,codebook,7378286663674937a615befd1e43fe7e1b1c757d48463fca899b19c6ecdd5d5a,neutral,financial_stability,,,"The decline was again driven primarily by lower participation by money market mutual funds, as such funds found it more attractive to invest in Treasury bills and, increasingly, the private market for repurchase agreement (repo) transactions."
gpt-5-mini,codebook,737ede392038a23081c554b72ae30eec10edb093e1f8def19f5b2b7f1c85d0f4,neutral,financial_stability,,,Vulnerabilities arising from financial leverage remained moderate.
gpt-5-mini,codebook,738964fde70e88a34a5a939ac53c89366f41f02fd8a37b1d166114fe0bcf796a,dovish,inflation,357,152,"It has also pushed down prices for commodities, especially oil."
gpt-5-mini,codebook,738d3a7f27b6ae3a812e112d5678ff40b4dfb7813ff3b6be1154aa7fb8866d0d,hawkish,employment,366,403,"Job gains have been strong, on average, in recent months, and the unemployment rate has stayed low."
gpt-5-mini,codebook,7394e7b213b402818a5e82e5e657195be2d1539f9b6ec7cf6287a6b4c13c0f02,dovish,growth,357,148,The Committee continues to see downside risks to the economic outlook.
gpt-5-mini,codebook,739e15f9cf13acdf82d35f230bcf49c9871782d030a9d0923a6344a6c60a3a45,dovish,growth,371,84,"Further, despite a recent uptick in sentiment, business investment remains well below what could be expected at this stage in the recovery."
